pagina,id,titulo,link,tipologia,estado,tamanho,preco,preco_antigo,desconto,preco_por_metro,localizacao,data_publicacao
1,1,"Ver Apartamento T3 para comprar na Amadora, Arredores (Venteira)",https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1043144&s=0&ps=1&SA=11&TW=162&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-amadora-arredores-(venteira)-ac30b8c4-2218-11ed-883a-060000000053.html?g3pid=1043144,T3,77m²,,285000.0,,,,"Arredores (Venteira), Amadora, Distrito de Lisboa",
1,2,"Ver Apartamento para comprar na Amadora, Mina de Água",https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1042756&s=0&ps=1&SA=11&TW=162&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-amadora-mina-de-agua-9d3a3bb7-93c9-11f0-8359-060000000051.html?g3pid=1042756,,,,260000.0,,,,"Mina de Água, Amadora, Distrito de Lisboa",
1,3,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1042606&s=0&ps=1&SA=11&TW=162&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-b7d00d36-2f47-11f0-9e61-060000000056.html?g3pid=1042606,T3,Renovado,110.0,39500043500092.0,,,359091304546.29,"Águas Livres, Amadora, Distrito de Lisboa",
1,4,"Ver Apartamento T4 para comprar na Amadora, Alfragide Sul (Alfragide)",https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1042021&s=0&ps=1&SA=11&TW=162&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t4-amadora-alfragide-sul-(alfragide)-14faef60-29a0-11f0-a463-060000000052.html?g3pid=1042021,T4,Renovado,88.0,340000.0,,,3863.64,"Alfragide Sul (Alfragide), Amadora, Distrito de Lisboa",
1,5,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1041725&s=0&ps=1&SA=11&TW=162&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-201c785a-8e51-11f0-9e61-060000000056.html?g3pid=1041725,T2,Renovado,77.0,295000.0,,,3831.17,"Venteira, Amadora, Distrito de Lisboa",
1,6,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1041613&s=0&ps=1&SA=11&TW=162&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-18203695-406a-11f0-9e61-060000000056.html?g3pid=1041613,T3,100m²,,39500043500092.0,,,,"Águas Livres, Amadora, Distrito de Lisboa",
1,7,"Ver Apartamento para comprar na Amadora, Mina de Água, Moinho do Guizo (A-Da-Beja)",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-moinho-do-guizo-(a-da-beja)-efe488af-129d-11ef-a211-060000000052.html,,Em construção,105.0,360000.0,,,3428.57,"Moinho do Guizo (A-Da-Beja), Mina de Água, Amadora, Distrito de Lisboa",
1,8,"Ver Apartamento T2 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-5cb41ee5-972c-11f0-a463-060000000052.html,T2,60m²,,269000.0,,,,"Mina de Água, Amadora, Distrito de Lisboa",
1,9,"Ver Apartamento T1 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t1-amadora-aguas-livres-0fb7886f-d4d2-49ea-9f0e-0db25f14185a.html,T1,47m²,,200000.0,,,,"Águas Livres, Amadora, Distrito de Lisboa",
1,10,"Ver Apartamento T3 para comprar na Amadora, Encosta do Sol",https://casa.sapo.pt/comprar-apartamento-t3-amadora-encosta-do-sol-357446b5-a42a-48b6-aa7a-5e5a2b75957e.html,T3,122m²,,290000.0,,,,"Encosta do Sol, Amadora, Distrito de Lisboa",
1,11,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-90f9464e-0558-11f0-9621-060000000058.html,T3,100m²,,290000.0,,,,"Águas Livres, Amadora, Distrito de Lisboa",
1,12,"Ver Apartamento T3 para comprar na Amadora, Alfragide",https://casa.sapo.pt/comprar-apartamento-t3-amadora-alfragide-f4b19b59-988f-4f0d-bed9-67ac9f7b534c.html,T3,120m²,,480000.0,,,,"Alfragide, Amadora, Distrito de Lisboa",
1,13,"Ver Apartamento T1 para comprar na Amadora, Águas Livres, Atalaia",https://casa.sapo.pt/comprar-apartamento-t1-amadora-aguas-livres-atalaia-eabbe244-892c-4394-b531-4cb7e8237425.html,T1,70m²,,345000.0,,,,"Atalaia, Águas Livres, Amadora, Distrito de Lisboa",
1,14,"Ver Apartamento T2 para comprar na Amadora, Falagueira-Venda Nova",https://casa.sapo.pt/comprar-apartamento-t2-amadora-falagueira-venda-nova-5ff1f279-431f-4b65-937b-61315d009e2d.html,T2,60m²,,250000.0,,,,"Falagueira-Venda Nova, Amadora, Distrito de Lisboa",
1,15,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-66ee7faf-5d76-11f0-80d2-060000000058.html,T3,110m²,,435000.0,,,,"Águas Livres, Amadora, Distrito de Lisboa",
1,16,"Ver Apartamento T2 para comprar na Amadora, Venteira, Piscinas (Reboleira)",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-piscinas-(reboleira)-0ebbfeaa-8fce-11f0-9e61-060000000056.html,T2,77m²,,295000.0,,,,"Piscinas (Reboleira), Venteira, Amadora, Distrito de Lisboa",
1,17,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-ced0a15a-8bad-11f0-86ff-060000000058.html,T2,54m²,,235000.0,,,,"Venteira, Amadora, Distrito de Lisboa",
1,18,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-15ec5fb8-8feb-11f0-9e61-060000000056.html,T2,77m²,,295000.0,,,,"Venteira, Amadora, Distrito de Lisboa",
1,19,"Ver Apartamento para comprar na Amadora, Mina de Água, Moinho do Guizo (São Brás)",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-moinho-do-guizo-(sao-bras)-755b3c0f-4841-11ef-a211-060000000052.html,,Em construção,105.0,370000.0,,,3523.81,"Moinho do Guizo (São Brás), Mina de Água, Amadora, Distrito de Lisboa",
1,20,"Ver Apartamento T2 para comprar na Amadora, Mina de Água, Urbanização Moinho do Guizo (São Brás)",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-urbanizacao-moinho-do-guizo-(sao-bras)-1ed14d4d-13a9-11ef-a211-060000000052.html,T2,Em construção,86.0,340000.0,,,3953.49,"Urbanização Moinho do Guizo (São Brás), Mina de Água, Amadora, Distrito de Lisboa",
1,21,"Ver Apartamento T3 para comprar na Amadora, Águas Livres, Urbanização Neudel",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-urbanizacao-neudel-66036f5c-9728-11f0-a463-060000000052.html,T3,152m²,,580000.0,,,,"Urbanização Neudel, Águas Livres, Amadora, Distrito de Lisboa",
1,22,"Ver Apartamento T2 para comprar na Amadora, Mina de Água, Vila Chã (Mina)",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-vila-cha-(mina)-3af405b0-9728-11f0-a463-060000000052.html,T2,95m²,,390000.0,,,,"Vila Chã (Mina), Mina de Água, Amadora, Distrito de Lisboa",
1,23,"Ver Apartamento T4 para comprar na Amadora, Águas Livres, Urbanização Neudel",https://casa.sapo.pt/comprar-apartamento-t4-amadora-aguas-livres-urbanizacao-neudel-94ef7ce0-9728-11f0-a463-060000000052.html,T4,152m²,,580000.0,,,,"Urbanização Neudel, Águas Livres, Amadora, Distrito de Lisboa",
1,24,"Ver Apartamento para comprar na Amadora, Mina de Água, Urbanização Moinho do Guizo (São Brás)",https://casa.sapo.pt/comprar-apartamento-t1-amadora-mina-de-agua-urbanizacao-moinho-do-guizo-(sao-bras)-d34eb25a-12ac-11ef-a211-060000000052.html,,Em construção,52.0,290000.0,,,5576.92,"Urbanização Moinho do Guizo (São Brás), Mina de Água, Amadora, Distrito de Lisboa",
1,25,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-6adbbd5a-6303-11f0-a463-060000000052.html,T3,95m²,,395000.0,,,,"Águas Livres, Amadora, Distrito de Lisboa",
2,1,"Ver Apartamento para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t3-amadora-venteira-03b0cb49-f41f-11ef-953d-060000000058.html,,Usado,71.0,288000305000557.0,,,4056342323951.51,"Venteira, Amadora, Distrito de Lisboa",
2,2,"Ver Apartamento T3 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t3-amadora-venteira-5c452a29-7f1c-11f0-a52b-060000000058.html,T3,Usado,78.0,279000.0,,,3576.92,"Venteira, Amadora, Distrito de Lisboa",
2,3,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-552e2a6c-9edc-4ca8-81f1-c1e8202c6713.html,T3,Usado,110.0,349000.0,,,3172.73,"Águas Livres, Amadora, Distrito de Lisboa",
