zona,freguesia_oficial
"Venteira","Venteira"
"Arredores (Venteira)","Venteira"
"Igreja (Venteira)","Venteira"
"Centro (Venteira)","Venteira"
"CP (Venteira)","Venteira"

"Brandoa","Encosta do Sol"
"Colina do Sol (Alfornelos)","Encosta do Sol"
"Alfornelos","Encosta do Sol"
"Centro (Mina)","Encosta do Sol"

"Encosta do Sol","Encosta do Sol"

"Águas Livres","Águas Livres"
"Damaia","Águas Livres"
"Damaia de Baixo","Águas Livres"
"Buraca","Águas Livres"
"Atalaia","Águas Livres"

"Alfragide","Alfragide"
"Alfragide Sul (Alfragide)","Alfragide"

"Mina de Água","Mina de Água"
"Vila Chã (Mina)","Mina de Água"
"Bairro da Mina (Mina)","Mina de Água"
"A-da-Beja (Mina)","Mina de Água"
"Mina","Mina de Água"

"São Brás","Mina de Água"
"Vila Chã (São Brás)","Mina de Água"
"Urbanização Moinho do Guizo (São Brás)","Mina de Água"
"Moinho do Guizo (São Brás)","Mina de Água"
"Moinho do Guizo (A-Da-Beja)","Mina de Água"

"Falagueira-Venda Nova","Falagueira-Venda Nova"
"Reboleira","Falagueira-Venda Nova"
"Centro (Venda Nova)","Falagueira-Venda Nova"
"Moinhos da Falagueira (Falagueira)","Falagueira-Venda Nova"
"Bairro do Bosque (Falagueira)","Falagueira-Venda Nova"
"Piscinas (Reboleira)","Falagueira-Venda Nova"

"Arredores (São Brás)","Mina de Água"
