"zona","freguesia_oficial"
"Graça (São Vicente de Fora)","São Vicente"
"Graça","São Vicente"
"Alfama (Sé)","São Vicente"
"Alfama (Castelo)","São Vicente"
"Castelo São Jorge (Castelo)","São Vicente"
"Santa Apolónia (São Vicente de Fora)","São Vicente"
"Santa Apolónia (Santa Engrácia)","São Vicente"
"Santa Apolónia (Santo Estevão)","São Vicente"
"Vale Santo António (Santa Engrácia)","São Vicente"
"Sapadores (Santa Engrácia)","São Vicente"
"Panteão Nacional (São Vicente de Fora)","São Vicente"
"Mouraria (Socorro)","Santa Maria Maior"
"Martim Moniz (Socorro)","Santa Maria Maior"
"Martim Moniz (Madalena)","Santa Maria Maior"
"Baixa (Madalena)","Santa Maria Maior"
"Arredores (Madalena)","Santa Maria Maior"
"Centro (São Jorge de Arroios)","Arroios"
"Arroios (São Jorge de Arroios)","Arroios"
"Praça do Chile (São Jorge de Arroios)","Arroios"
"Saldanha (São Jorge de Arroios)","Arroios"
"Alameda (São Jorge de Arroios)","Arroios"
"Almirante Reis (São Jorge de Arroios)","Arroios"
"Jardim Constantino (São Jorge de Arroios)","Arroios"
"Arroios","Arroios"
"Bairro Alto (Sacramento)","Misericórdia"
"Chiado (Encarnação)","Misericórdia"
"Carmo (Sacramento)","Misericórdia"
"Misericórdia","Misericórdia"
"Marquês de Pombal (São José)","Santo António"
"Príncipe Real (São José)","Santo António"
"Avenida da Liberdade (São José)","Santo António"
"Santa Marta (Coração de Jesus)","Santo António"
"Gomes Freire (Coração de Jesus)","Santo António"
"Santo António","Santo António"
"Campo de Ourique (Santa Isabel)","Campo de Ourique"
"Campo de Ourique (Santo Condestável)","Campo de Ourique"
"Centro (Santa Isabel)","Campo de Ourique"
"São Bento (Santa Isabel)","Campo de Ourique"
"Campo de Ourique","Campo de Ourique"
"Estrela (Prazeres)","Estrela"
"Infante Santo (Prazeres)","Estrela"
"Janelas Verdes (Prazeres)","Estrela"
"Lapa","Estrela"
"Madragoa (Lapa)","Estrela"
"Estrela (Lapa)","Estrela"
"Estrela","Estrela"
"Ajuda","Ajuda"
"Benfica","Benfica"
"Carnide","Carnide"
"Lumiar","Lumiar"
"Marvila","Marvila"
"Beato","Beato"
"Olivais","Olivais"
"Parque das Nações","Parque das Nações"
"Santa Clara","Santa Clara"
"Alvalade","Alvalade"
"Areeiro","Areeiro"
"Avenidas Novas","Avenidas Novas"
"Campolide","Campolide"
"São Domingos de Benfica","São Domingos de Benfica"
"Belém","Belém"
"Santa Maria Maior","Santa Maria Maior"
"Penha de França","Penha de França"
"Alvalade (São João de Brito)","Alvalade"
"São Vicente","São Vicente"
"Centro (Ameixoeira)","Santa Clara"
"Barão Sabrosa (São João)","Penha de França"
"Bairro da Calçada dos Mestres","Campolide"
"Anjos","Arroios"
"Olivais Sul","Olivais"
"Alcântara","Alcântara"
"Mouraria (Graça)","Santa Maria Maior"
"Alfama (São Vicente de Fora)","São Vicente"
"Quinta das Conchas","Lumiar"
"Alto de Santo Amaro","Ajuda"
"Encarnação","Olivais"
"Arneiros","Carnide"
"Pedralvas","Benfica"
"Prodac","Marvila"
"Mercado","Arroios"
"Alfama (São Miguel)","São Vicente"
"Centro (São Vicente de Fora)","São Vicente"
"Xabregas","Beato"
"Mouraria (Madalena)","Santa Maria Maior"
"Avenida Infante Santo (Lapa)","Estrela"
"Avenida do Uruguai","São Domingos de Benfica"
"Alto do Lumiar","Lumiar"
"Avenida de Roma (Alvalade)","Alvalade"
"Condomínio do Parque","Lumiar"
"Arredores (Santo Condestável)","Campo de Ourique"
"Costa do Castelo (Castelo)","Santa Maria Maior"
"Graça (Santiago)","São Vicente"
"Centro (São Mamede)","Santo António"
"Santos (Santos-o-Velho)","Estrela"
"Centro (Socorro)","Santa Maria Maior"
"Centro (Santa Catarina)","Misericórdia"
"Bairro Lopes","Marvila"
"Santa Engrácia","São Vicente"
"Rato (São Mamede)","Santo António"
"Alto São João","Penha de França"
"Entrecampos (Nossa Senhora de Fátima)","Avenidas Novas"
"Almirante Reis (Anjos)","Arroios"
"Pedrouços (Santa Maria de Belém)","Belém"
"Belém (Santa Maria de Belém)","Belém"
"Santos (São Paulo)","Misericórdia"
"Jardim da Parada","Campo de Ourique"
"Centro (Penha de França)","Penha de França"
"Maria Pia","Campo de Ourique"
"Amoreiras","Campo de Ourique"
"Centro (Santa Engrácia)","São Vicente"
"Convento Encarnação (Pena)","Arroios"
"Bairro de Santa Cruz","Carnide"
"Picheleira","Areeiro"
"Arredores (São Vicente de Fora)","São Vicente"
"Laranjeiras","São Domingos de Benfica"
"Bairro dos Actores (São João)","Areeiro"
"Centro (Graça)","São Vicente"
"Ameixoeira","Santa Clara"
"São Bento (Mercês)","Misericórdia"
"Braço de Prata","Marvila"
"Pontinha (Santiago)","Carnide"
"Gulbenkian (Nossa Senhora de Fátima)","Avenidas Novas"
"Alfama (Santo Estevão)","São Vicente"
"Avenida D. Carlos I (São Paulo)","Misericórdia"
"Bica (Santa Catarina)","Misericórdia"
"Martim Moniz (São Nicolau)","Santa Maria Maior"
"Alcantara (Prazeres)","Alcântara"
"Bairro de Inglaterra","Areeiro"

