"zona","freguesia_oficial"
"Rio de Mouro","Rio de Mouro"
"Fitares (Rio de Mouro)","Rio de Mouro"
"Rinchoa (Rio de Mouro)","Rio de Mouro"
"Mercês (Rio de Mouro)","Rio de Mouro"
"Serra das Minas (Rio de Mouro)","Rio de Mouro"
"Centro (Rio de Mouro)","Rio de Mouro"
"Serra das Minas","Rio de Mouro"
"Tapada da Mercês","Algueirão-Mem Martins"
"Algueirão-Mem Martins","Algueirão-Mem Martins"
"Algueirão","Algueirão-Mem Martins"
"Mercês","Algueirão-Mem Martins"
"Casal da Cavaleira","Algueirão-Mem Martins"
"Colares","Colares"
"Várzea de Sintra (Santa Maria e São Miguel)","Colares"
"Várzea de Sintra (São Pedro Penaferrim)","Colares"
"Galamares (São Martinho)","Colares"
"Magoito (São João das Lampas)","São João das Lampas e Terrugem"
"Magoito (Terrugem)","São João das Lampas e Terrugem"
"Queluz e Belas","Queluz e Belas"
"Belas","Queluz e Belas"
"Idanha (Belas)","Queluz e Belas"
"Massamá Norte (Belas)","Queluz e Belas"
"Belas Clube de Campo (Belas)","Queluz e Belas"
"Queluz (Massamá)","Queluz e Belas"
"Queluz (Monte Abraão)","Queluz e Belas"
"Centro (Queluz)","Queluz e Belas"
"Massamá e Monte Abraão","Massamá e Monte Abraão"
"Monte Abraão","Massamá e Monte Abraão"
"Correios (Massamá)","Massamá e Monte Abraão"
"Centro (Massamá)","Massamá e Monte Abraão"
"Cacém e São Marcos","Cacém e São Marcos"
"São Marcos","Cacém e São Marcos"
"Casal do Cotão (São Marcos)","Cacém e São Marcos"
"Centro (Cacém)","Cacém e São Marcos"
"Cacém (Agualva)","Cacém e São Marcos"
"Cacém de Cima (Cacém)","Cacém e São Marcos"
"Urbanização de São Marcos (Cacém)","Cacém e São Marcos"
"Arredores (Cacém)","Cacém e São Marcos"
"Agualva e Mira-Sintra","Agualva e Mira-Sintra"
"Agualva","Agualva e Mira-Sintra"
"Colaride","Agualva e Mira-Sintra"
"Mira Sintra","Agualva e Mira-Sintra"
"Fonte das Eiras (Agualva)","Agualva e Mira-Sintra"
"Quinta da Fidalga (Agualva)","Agualva e Mira-Sintra"
"Centro (Agualva)","Agualva e Mira-Sintra"
"S.Maria e S.Miguel","Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim"
"São Pedro de Sintra (Santa Maria e São Miguel)","Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim"
"Centro (Santa Maria e São Miguel)","Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim"
"Casal da Granja (São Martinho)","Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim"
"Beloura (São Pedro Penaferrim)","Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim"
"São João das Lampas e Terrugem","São João das Lampas e Terrugem"
"Almargem do Bispo","Almargem do Bispo, Pêro Pinheiro e Montelavar"
"Casal de Cambra","Casal de Cambra"
"Bairro da Coopalme","Algueirão-Mem Martins"
"Pendão", "Queluz e Belas"
